name,price,weight,pricePerGram,coupangLink,sourceKeyword,productId
"코스트코 곰표 중력 밀가루 1KG X 6, 6kg, 2개","24880","6000","4.1467","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8288542341&itemId=19793268750&vendorItemId=91677451589&traceid=V0-153-4a8b3963c5bdd3b8&clickBeacon=b10005a0-130c-11f1-a09c-af24031c49b0%7E3&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","8288542341"
"백설 강력 밀가루","5300","1000","5.3","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=2442103&itemId=171231&vendorItemId=3000094812&traceid=V0-153-70e19c05de6abac8&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","2442103"
"[황금빛들녘] 우리밀 통밀가루 앉은뱅이밀/호밀/아리흑밀 3kg, 3kg, 1개","19900","3000","6.6333","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8244609814&itemId=23574106197&vendorItemId=71292208284&traceid=V0-153-1e8273b912ca463f&clickBeacon=b10005a0-130c-11f1-b219-9ba29dd08f80%7E3&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","8244609814"
"곰표 강력 밀가루","8900","1000","8.9","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=2764343&itemId=18320049134&vendorItemId=85464829814&traceid=V0-153-2011269afcfdbca5&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","2764343"
"백설 박력밀가루 2.5kg, 2.5kg, 6개","35100","2500","14.04","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7235541054&itemId=18900957358&vendorItemId=94332581454&traceid=V0-153-2b76d3e93c2dd703&clickBeacon=b10005a0-130c-11f1-ac02-9489859e7b61%7E3&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","7235541054"
"대한제분 코끼리 빵용 강력 밀가루","15900","1000","15.9","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8288526749&itemId=23415851331&vendorItemId=4935144170&traceid=V0-153-560c170abe43b3b6&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","8288526749"
"대한제분 강력밀가루 제빵전용분","24500","1000","24.5","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=5761414325&itemId=9758090176&vendorItemId=77041800007&traceid=V0-153-3eb9acd06142e46a&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","5761414325"
"국산 토종 앉은뱅이 통밀가루(강력분) 앉은키 밀가루, 5개, 700g","30100","700","43.0","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8670129070&itemId=26581716089&vendorItemId=93555115097&traceid=V0-153-efba01e8de30b691&clickBeacon=b10005a0-130c-11f1-8d64-f288fda3f09b%7E3&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","8670129070"
"스테인레스 초강력 봉자석100-300mm 고추 밀가루 철분제거 10,000가우스, 1개","95000","1000","95.0","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=5177145357&itemId=7156031181&vendorItemId=74447730484&traceid=V0-153-6c34a211cd37137c&clickBeacon=b0ffde90-130c-11f1-a691-82b78cd77d4c%7E3&requestid=20260226211425513111343351&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","강력분","5177145357"
"배대감 이스트","1990","1000","1.99","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8989223285&itemId=26330028671&vendorItemId=93307312714&traceid=V0-153-ca9cbfe6d0a193bb&requestid=20260226211427771325025270&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","드라이이스트","8989223285"
"배대감 이스트","3980","1000","3.98","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=7764762128&itemId=25335265898&vendorItemId=92330015218&traceid=V0-153-3239bfb484531749&requestid=20260226211427771325025270&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","드라이이스트","7764762128"
"카푸토1924 드라이 이스트","5800","1000","5.8","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=6601526797&itemId=17970688210&vendorItemId=82162700235&traceid=V0-153-a0c58e34427311c2&requestid=20260226211427771325025270&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","드라이이스트","6601526797"
"르사프 드라이 이스트","7160","1000","7.16","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8243847678&itemId=18691103035&vendorItemId=93830688178&traceid=V0-153-5f05a5c316472d94&requestid=20260226211427771325025270&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","드라이이스트","8243847678"
"Eagle 인스턴트 드라이 이스트, 2개, 500g","8560","500","17.12","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=6764321263&itemId=23140933950&vendorItemId=92855944278&traceid=V0-153-78e2858e7804252e&clickBeacon=b2581b90-130c-11f1-8caa-50d2d18258fa%7E3&requestid=20260226211427771325025270&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","드라이이스트","6764321263"
"[팍마야] 인스턴트 드라이 이스트 소포장 11g x 60입","18900","660","28.6364","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=6331320693&itemId=13240330092&vendorItemId=94669588472&traceid=V0-153-889123738c848aa2&requestid=20260226211427771325025270&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","드라이이스트","6331320693"
"사프 인스턴트 이스트 골드 500g, 20개 1박스 샤프 드라이 건조, 500g, 20개","117900","500","235.8","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=8289729295&itemId=25223304313&vendorItemId=92090109540&traceid=V0-153-23d3a9e9ad86b3f2&clickBeacon=b2581b90-130c-11f1-8122-8bb53ef74192%7E3&requestid=20260226211427771325025270&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","드라이이스트","8289729295"
"프레지덩 무염버터팩","11900","1000","11.9","https://link.coupang.com/re/AFFSDP?lptag=AF7912448&pageKey=111245588&itemId=335084311&vendorItemId=82068155634&traceid=V0-153-c7ada0f805e6b4a3&requestid=20260226211426395040929916&token=31850C%7CMIXED&landing_exp=APP_LANDING_A","무염버터","111245588"
